Sensor type,Sensor name (used in command)
R100,100Ω
R400,400Ω
R4k,4kΩ
Pt100-385,Pt100(385)
Pt10-385,Pt10(385)
Pt50-385,Pt50(385)
Pt200-385,Pt200(385)
Pt400-385,Pt400(385)
Pt1000-385,Pt1000(385)
Pt25-385,Pt25(385)
Pt100-3916,Pt100(3916)
Pt100-3926,Pt100(3926)
Pt100-391,Pt100(391)
Cu100-428,Cu100(428)
Cu50-428,Cu50(428)
Cu10-427,Cu10(427)
Ni100-617,Ni100(617)
Ni100-618,Ni100(618)
Ni120-672,Ni120(672)
Ni1000,Ni1000
TC-S,S
TC-R,R
TC-B,B
TC-K,K
TC-N,N
TC-E,E
TC-J,J
TC-T,T
TC-C,C
TC-D,D
TC-G,G
TC-L,L
TC-U,U
TC-LR,LR
TC-A,A
mV,mV
